name	edge_num	taxon	like_weight_ratio
seq642	666	str	0.142859
seq25242	665	str	1
seq34702	665	str	1
seq16973	676	str	0.98731
seq18610	665	str	1
seq25825	665	str	1
seq11457	665	str	1
seq18702	665	str	1
seq39778	665	str	1
seq8407	671	str	0.142857
seq30125	669	str	0.142857
seq39568	676	str	0.493321
seq54259	676	str	0.964223
seq32379	668	str	0.210757
seq19533	676	str	0.97933
seq59020	662	str	0.943874
seq4805	676	str	0.495266
seq4333	662	str	0.975984
seq54207	676	str	0.594464
seq18675	677	str	0.582026
seq35829	677	str	0.552132
seq59999	665	str	0.891836
seq6522	658	str	0.142857
seq18253	662	str	0.14911
seq6099	662	str	0.150476
seq54626	662	str	0.147847
seq41072	649	str	1
seq30200	649	str	1
seq856	649	str	0.818283
seq41395	649	str	0.975638
seq56010	649	str	1
seq261	649	str	1
seq61503	649	str	1
seq3217	649	str	1
seq7063	649	str	0.976346
seq41916	649	str	0.505349
seq22150	649	str	0.975702
seq55553	649	str	0.976559
seq9209	649	str	1
seq17944	649	str	0.969297
seq42223	649	str	0.535999
seq3916	649	str	1
seq16905	649	str	0.976275
seq21718	649	str	0.864732
seq28367	649	str	0.412457
seq28794	649	str	0.834594
seq8717	649	str	0.86563
seq23334	649	str	0.410721
seq53945	649	str	0.864917
seq64803	649	str	0.399775
seq27591	649	str	0.878281
seq21566	649	str	0.243538
seq28244	649	str	0.379585
seq62812	650	str	0.715091
seq29213	649	str	0.444525
seq29271	650	str	0.918941
seq751	649	str	0.949554
seq2231	649	str	0.816341
seq19609	649	str	0.914929
seq35836	676	str	0.534579
seq21549	646	str	0.351874
seq22169	646	str	1
seq12881	676	str	0.56776
seq63453	642	str	0.70566
seq41357	642	str	1
seq36565	642	str	1
seq32234	642	str	1
seq55555	642	str	1
seq36170	642	str	1
seq8023	642	str	1
seq6786	642	str	1
seq6481	642	str	1
seq8220	642	str	1
seq49171	642	str	1
seq14400	642	str	0.982406
seq18206	642	str	1
seq31017	642	str	1
seq62856	642	str	1
seq21251	642	str	1
seq34729	642	str	1
seq10750	642	str	1
seq35038	642	str	1
seq42709	642	str	1
seq22782	642	str	0.957816
seq42805	642	str	1
seq26898	642	str	0.986668
seq20331	759	str	0.340488
seq61905	642	str	1
seq9256	642	str	1
seq18149	642	str	1
